År;Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
2021;114;UPPLANDS VÄSBY;EDS FÖRSAMLING;32.638;31.753;19.42;12.08;0.253;0.885
2021;114;UPPLANDS VÄSBY;FRESTA FÖRSAMLING;32.548;31.753;19.42;12.08;0.253;0.795
2021;114;UPPLANDS VÄSBY;HAMMARBY FÖRSAMLING;32.588;31.753;19.42;12.08;0.253;0.835
2021;115;VALLENTUNA;VALLENTUNA FÖRSAMLING;32.168;31.333;19.00;12.08;0.253;0.835
2021;115;VALLENTUNA;ÖSSEBY FÖRSAMLING;32.473;31.333;19.00;12.08;0.253;1.14
2021;117;ÖSTERÅKER;LJUSTERÖ-KULLA FÖRSAMLING;30.068;29.333;17.00;12.08;0.253;0.735
2021;117;ÖSTERÅKER;ÖSTERÅKER-ÖSTRA RYDS FÖRSAMLING;30.068;29.333;17.00;12.08;0.253;0.735
2021;120;VÄRMDÖ;DJURÖ, MÖJA OCH NÄMDÖ FÖRSAMLING;32.678;31.513;19.18;12.08;0.253;1.165
2021;120;VÄRMDÖ;GUSTAVSBERG-INGARÖ FÖRSAMLING;32.378;31.513;19.18;12.08;0.253;0.865
2021;120;VÄRMDÖ;VÄRMDÖ FÖRSAMLING;32.378;31.513;19.18;12.08;0.253;0.865
2021;123;JÄRFÄLLA;JÄRFÄLLA FÖRSAMLING;32.168;31.483;19.15;12.08;0.253;0.685
2021;125;EKERÖ;ADELSÖ-MUNSÖ FÖRSAMLING;32.518;31.583;19.25;12.08;0.253;0.935
2021;125;EKERÖ;EKERÖ FÖRSAMLING;32.518;31.583;19.25;12.08;0.253;0.935
2021;125;EKERÖ;FÄRINGSÖ FÖRSAMLING;32.568;31.583;19.25;12.08;0.253;0.985
2021;125;EKERÖ;LOVÖ FÖRSAMLING;32.518;31.583;19.25;12.08;0.253;0.935
2021;126;HUDDINGE;FLEMINGSBERGS FÖRSAMLING;32.818;32.103;19.77;12.08;0.253;0.715
2021;126;HUDDINGE;HUDDINGE FÖRSAMLING;32.818;32.103;19.77;12.08;0.253;0.715
2021;126;HUDDINGE;S:T MIKAELS FÖRSAMLING;32.818;32.103;19.77;12.08;0.253;0.715
2021;126;HUDDINGE;TRÅNGSUND-SKOGÅS FÖRSAMLING;32.818;32.103;19.77;12.08;0.253;0.715
2021;127;BOTKYRKA;BOTKYRKA FÖRSAMLING;33.418;32.483;20.15;12.08;0.253;0.935
2021;128;BOTKYRKA;GRÖDINGE FÖRSAMLING;33.493;32.483;20.15;12.08;0.253;1.01
2021;128;SALEM;SALEMS FÖRSAMLING;32.842;32.003;19.67;12.08;0.253;0.839
2021;136;HANINGE;DALARÖ-ORNÖ-UTÖ FÖRSAMLING;32.858;32.013;19.68;12.08;0.253;0.845
2021;136;HANINGE;VÄSTERHANINGE-MUSKÖ FÖRSAMLING;32.858;32.013;19.68;12.08;0.253;0.845
2021;136;HANINGE;ÖSTERHANINGE FÖRSAMLING;32.858;32.013;19.68;12.08;0.253;0.845
2021;138;TYRESÖ;TYRESÖ FÖRSAMLING;32.898;32.083;19.75;12.08;0.253;0.815
2021;139;UPPLANDS-BRO;BRO FÖRSAMLING;32.873;31.933;19.60;12.08;0.253;0.94
2021;139;UPPLANDS-BRO;KUNGSÄNGEN-VÄSTRA RYDS FÖRSAMLING;32.813;31.933;19.60;12.08;0.253;0.88
2021;140;NYKVARN;TURINGE-TAXINGE FÖRSAMLING;33.373;32.303;19.97;12.08;0.253;1.07
2021;160;TÄBY;TÄBY FÖRSAMLING;30.658;29.883;17.55;12.08;0.253;0.775
2021;162;DANDERYD;DANDERYDS FÖRSAMLING;31.808;31.083;18.75;12.08;0.253;0.725
2021;163;SOLLENTUNA;SOLLENTUNA FÖRSAMLING;31.248;30.453;18.12;12.08;0.253;0.795
2021;180;STOCKHOLM;ADOLF FREDRIKS FÖRSAMLING;30.99;29.885;17.74;12.08;0.065;1.105
